TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
4201,エディオン 円町店,OPEN,,京都府,604-8463,京都府,京都市,中京区西ノ京西円町55-1,,,
3921,ビックカメラ JR京都駅店,OPEN,,京都府,600-8216,京都府,京都市,下京区東塩小路町927,,,
1171,ジョーシン 伏見店,OPEN,,京都府,612-8393,京都府,京都市,伏見区下鳥羽渡瀬町101番地,,,
541,ジョーシン 桂川イオンモール店,OPEN,,京都府,601-8211,京都府,京都市,南区久世高田町376-1,,,
8191,楽天モバイル アルプラザ城陽店,OPEN,,京都府,610-0111,京都府,城陽市,富野荒見田112,,,
7730,エディオン イズミヤ長岡店,OPEN,,京都府,617-0826,京都府,長岡京市,開田4-7-1,,,
7936,楽天モバイル イオンモール宇城店,OPEN,,熊本県,869-0606,熊本県,宇城市,小川町河江1-1,,,
6671,楽天モバイル ゆめタウン光の森店,OPEN,,熊本県,869-1108,熊本県,菊池郡,菊陽町光の森7-33-1,,,
7739,ビックカメラ アミュプラザくまもと店,OPEN,,熊本県,860-0047,熊本県,熊本市,西区春日三丁目15番60号,,,
7061,楽天モバイル サクラマチ熊本店,OPEN,,熊本県,860-0805,熊本県,熊本市,中央区桜町3-10,,,
4501,エディオン サンリブシティくまなん店,OPEN,,熊本県,860-0833,熊本県,熊本市,中央区平成3-20-1,,,
7816,楽天モバイル イオンモール熊本店,OPEN,,熊本県,861-3106,熊本県,上益城郡,嘉島町大字上島字長池2232,,,
3951,エディオン イオンモール熊本店,OPEN,,熊本県,861-3106,熊本県,上益城郡,嘉島町大字上島字長池2232,,,
7930,楽天モバイル スマーク伊勢崎店,OPEN,,群馬県,379-2224,群馬県,伊勢崎市,西小保方町368,,,
6381,ビックカメラ 高崎東口店,OPEN,,群馬県,370-0841,群馬県,高崎市,栄町10-10,,,
5841,LABI1 LIFE SELECT 高崎,OPEN,,群馬県,370-0841,群馬県,高崎市,栄町1番1号,,,
8294,エディオン 海田店,OPEN,,広島県,736-0052,広島県,安芸郡,海田町南つくも町13-18,,,
4711,コジマ×ビックカメラ イオンモール広島府中店,OPEN,,広島県,735-0021,広島県,安芸郡,府中町大須2-1-1,,,
3151,エディオン 呉本店,OPEN,,広島県,737-0811,広島県,呉市,西中央4-1-48,,,
8380,エディオン 宇品店,OPEN,,広島県,734-0014,広島県,広島市,南区宇品西2-16-51,,,
8227,楽天モバイル イオンモール広島祇園店,OPEN,,広島県,731-0196,広島県,広島市,安佐南区祇園3-2-1,,,
6981,楽天モバイル 広島本通り店,OPEN,,広島県,730-0035,広島県,広島市,中区本通7-24,,,
6301,コジマ×ビックカメラ 広島インター緑井店,OPEN,,広島県,731-0103,広島県,広島市,安佐南区緑井1丁目3-1,,,
5031,ビックカメラ 広島駅前店,OPEN,,広島県,732-0822,広島県,広島市,南区松原町5-1,,,
4981,エディオン 八木店,OPEN,,広島県,731-0101,広島県,広島市,安佐南区八木2-16-10,,,
4971,エディオン アルパーク南店,OPEN,,広島県,733-0833,広島県,広島市,西区商工センター2丁目5-1,,,
1601,楽天モバイル ゆめタウン広島店,OPEN,,広島県,734-0007,広島県,広島市,南区皆実町2丁目8-17,,,
711,エディオン 広島本店,OPEN,,広島県,730-8620,広島県,広島市,中区紙屋町2-1-18,,,
8391,エディオン アクロスプラザ三原店,OPEN,,広島県,723-0015,広島県,三原市,円一町1丁目1番2-2,,,
2271,エディオン 東広島本店,OPEN,,広島県,739-0024,広島県,東広島市,西条町御薗宇4598-1,,,
7805,楽天モバイル ゆめタウン廿日市店,OPEN,,広島県,738-0023,広島県,廿日市市,下平良二丁目2-1,,,
3941,エディオン 廿日市店,OPEN,,広島県,738-0024,広島県,廿日市市,新宮1-9-34,,,
7935,楽天モバイル ゆめタウン福山店,OPEN,,広島県,720-8524,広島県,福山市,入船町3丁目1-60,,,
2281,エディオン 福山本店,OPEN,,広島県,720-0801,広島県,福山市,入船町一丁目8-15,,,
8379,エディオン 高松春日店,OPEN,,香川県,761-0101,香川県,高松市,春日町字川尻1028-1,,,
7829,楽天モバイル ゆめタウン高松店,OPEN,,香川県,761-8072,香川県,高松市,三条町608-1,,,
4051,エディオン ゆめタウン高松店,OPEN,,香川県,761-8056,香川県,高松市,上天神町字高田362-1,,,
8331,楽天モバイル イオンモール高知店,OPEN,,高知県,780-0026,高知県,高知市,秦南町1-4-8 ,,,
5581,楽天モバイル ゆめタウン佐賀店,OPEN,,佐賀県,849-0919,佐賀県,佐賀市,兵庫北5丁目14番1号,,,
4901,エディオン 佐賀本店,OPEN,,佐賀県,849-0919,佐賀県,佐賀市,兵庫北6丁目4番21号,,,
7882,楽天モバイル フレスポ鳥栖店,OPEN,,佐賀県,841-0026,佐賀県,鳥栖市,本鳥栖町537-1,,,
8345,楽天モバイル 大宮ステラタウン店,OPEN,,埼玉県,331-0812,埼玉県,さいたま市,北区宮原町1丁目854番1号,,,
8249,楽天モバイル イオンモール浦和美園店,OPEN,,埼玉県,336-8760,埼玉県,さいたま市,緑区美園5丁目50番地1,,,
7910,楽天モバイル 浦和店,OPEN,,埼玉県,330-0062,埼玉県,さいたま市,浦和区仲町一丁目4番12号,,,
7817,楽天モバイル 武蔵浦和マーレ店,OPEN,,埼玉県,336-0022,埼玉県,さいたま市,南区白幡5丁目19番19号,,,
7758,楽天モバイル コクーンシティ店,OPEN,,埼玉県,330-0843,埼玉県,さいたま市,大宮区吉敷町4丁目263-1,,,
5021,ビックカメラ 大宮西口そごう店,OPEN,,埼玉県,330-0854,埼玉県,さいたま市,大宮区桜木町1-8-4,,,
2771,楽天モバイル 大宮マルイ店,OPEN,,埼玉県,330-0854,埼玉県,さいたま市,大宮区桜木町2-3,,,
531,ジョーシン 羽生イオンモール店,OPEN,,埼玉県,348-0039,埼玉県,羽生市,川崎2-281-3,,,
5561,楽天モバイル レイクタウンmori店,OPEN,,埼玉県,343-0828,埼玉県,越谷市,レイクタウン3丁目1-1,,,
8126,楽天モバイル アリオ鷲宮店,OPEN,,埼玉県,340-0212,埼玉県,久喜市,久本寺谷田7-1,,,
2781,楽天モバイル モラージュ菖蒲店,OPEN,,埼玉県,346-0106,埼玉県,久喜市,菖蒲町菖蒲6005-1,,,
2791,楽天モバイル ニットーモール熊谷店,OPEN,,埼玉県,360-0032,埼玉県,熊谷市,銀座2丁目245番地,,,
7858,楽天モバイル イオンモール北戸田店,OPEN,,埼玉県,335-0032,埼玉県,戸田市,美女木東1-3-2,,,
8315,ジョーシン 鴻巣店,OPEN,,埼玉県,369-0131,埼玉県,鴻巣市,袋763-2,,,
8183,楽天モバイル エルミこうのすショッピングモール店,OPEN,,埼玉県,365-0038,埼玉県,鴻巣市,本町一丁目1番2号,,,
3111,エディオン ららぽーと新三郷店,OPEN,,埼玉県,341-0009,埼玉県,三郷市,新三郷ららシティ3丁目1-1,,,
8273,楽天モバイル マルイファミリー志木店,OPEN,,埼玉県,353-0004,埼玉県,志木市,本町5-26-1,,,
7531,楽天モバイル ララガーデン春日部店,OPEN,,埼玉県,344-0064,埼玉県,春日部市,南1丁目1-1,,,
6021,楽天モバイル イオンモール春日部店,OPEN,,埼玉県,344-0122,埼玉県,春日部市,下柳420-1,,,
7351,ビックカメラ 所沢駅店,OPEN,,埼玉県,359-1123,埼玉県,所沢市,日吉町12-1,,,
2821,楽天モバイル 所沢プロペ通り店,OPEN,,埼玉県,359-1123,埼玉県,所沢市,日吉町10-22,,,
7801,楽天モバイル イオンモール上尾店,OPEN,,埼玉県,362-0034,埼玉県,上尾市,愛宕3丁目8番1号,,,
3611,コジマ×ビックカメラ 新座店,OPEN,,埼玉県,352-0011,埼玉県,新座市,野火止6-1-10,,,
8182,楽天モバイル アリオ深谷店,OPEN,,埼玉県,366-0052,埼玉県,深谷市,上柴町西4丁目2-14,,,
7441,楽天モバイル 川越クレアモール店,OPEN,,埼玉県,350-1122,埼玉県,川越市,脇田町6番地4-2,,,
8411,楽天モバイル アリオ川口店,OPEN,,埼玉県,332-0033,埼玉県,川口市,並木元町1-79,,,
7755,楽天モバイル イオンモール川口店,OPEN,,埼玉県,333-0834,埼玉県,川口市,安行領根岸3180,,,
7261,楽天モバイル 川口店,OPEN,,埼玉県,332-0017,埼玉県,川口市,栄町3-9-18,,,
1651,ジョーシン アリオ川口店,OPEN,,埼玉県,332-0033,埼玉県,川口市,並木元町1-79,,,
7541,楽天モバイル 草加マルイ店,OPEN,,埼玉県,340-0015,埼玉県,草加市,高砂2丁目9-1,,,
7859,楽天モバイル ピオニウォーク東松山店,OPEN,,埼玉県,355-0048,埼玉県,東松山市,あずま町4丁目3,,,
3691,楽天モバイル 入間店,OPEN,,埼玉県,358-0008,埼玉県,入間市,河原町2-1,,,
8120,楽天モバイル フレスポ八潮店,OPEN,,埼玉県,340-0822,埼玉県,八潮市,大瀬1丁目1番地3号,,,
7938,楽天モバイル 西武飯能ぺぺ店,OPEN,,埼玉県,357-0038,埼玉県,飯能市,仲町11-21,,,
7929,楽天モバイル ふじみ野店,OPEN,,埼玉県,354-0035,埼玉県,富士見市,ふじみ野西1-21-2,,,
4591,楽天モバイル ららぽーと富士見店,OPEN,,埼玉県,354-8560,埼玉県,富士見市,山室1丁目1313番,,,
5231,ジョーシン 伊勢ララパーク店,OPEN,,三重県,516-0007,三重県,伊勢市,小木町字曽祢538,,,
6601,楽天モバイル イオンモール東員店,OPEN,,三重県,511-0255,三重県,員弁郡,東員町大字長深字築田510番地1,,,
2431,ジョーシン 東員イオンモール店,OPEN,,三重県,511-0255,三重県,員弁郡,東員町大字長深字築田510-1,,,
8394,楽天モバイル イオンモール桑名店,OPEN,,三重県,511-0863,三重県,桑名市,新西方1-22,,,
4921,エディオン 桑名店,OPEN,,三重県,511-0811,三重県,桑名市,東方福島前777番,,,
6761,楽天モバイル 四日市駅前店,OPEN,,三重県,510-0086,三重県,四日市市,諏訪栄町7-34,,,
4941,エディオン 四日市日永店,OPEN,,三重県,510-0885,三重県,四日市市,日永四丁目1番4号,,,
7051,楽天モバイル アドバンスモール松阪店,OPEN,,三重県,515-0055,三重県,松阪市,田村町235-1,,,
