TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
2351,エディオン 長崎本店,OPEN,2017/5/19,長崎県,850-0853,長崎県,長崎市,浜町2-32,CES,ライクスタッフィング,株式会社エディオン
2401,楽天モバイル ミスターマックス湘南藤沢店,OPEN,2017/7/6,神奈川県,251-0042,神奈川県,藤沢市,辻堂新町4丁目3番地5号,PS,TDモバイル,TDモバイル
2411,ビックカメラ AKIBA,OPEN,2017/6/12,東京都,101-0021,東京都,千代田区,外神田4-1-1,CES,ヒト・コミュニケーションズ,株式会社ビックカメラ
2421,ケーズデンキ 前橋川曲店,OPEN,2017/7/13,群馬県,371-0823,群馬県,前橋市,川曲町字阿弥陀西318-1,CES,ライクスタッフィング,ケーズホールディングス
2431,ジョーシン 東員イオンモール店,OPEN,2017/7/7,三重県,511-0255,三重県,員弁郡,東員町大字長深字築田510-1,CES,ウィルオブ・ワーク,上新電機株式会社
2441,ジョーシン 和歌山北店,OPEN,2017/7/11,和歌山県,640-8442,和歌山県,和歌山市,平井120-1,CES,ヒト・コミュニケーションズ,上新電機株式会社
2461,ジョーシン 中山寺店,OPEN,2017/7/11,兵庫県,665-0874,兵庫県,宝塚市,中筋5-10-27,CES,リクルートスタッフィング,上新電機株式会社
2471,ジョーシン 上越店,OPEN,2017/7/11,新潟県,943-0171,新潟県,上越市,藤野新田1176-2,CES,ライクスタッフィング,上新電機株式会社
2481,ケーズデンキ アリオ鳳店,OPEN,2017/7/14,大阪府,593-8325,大阪府,堺市,西区鳳南町3丁199番地12,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2491,ケーズデンキ 昭島店,OPEN,2017/7/20,東京都,196-0012,東京都,昭島市,つつじが丘2丁目8-20,CES,パーソルマーケティング,ケーズホールディングス
2501,ケーズデンキ 仙台太白店,OPEN,2017/7/20,宮城県,982-0818,宮城県,仙台市,太白区山田新町33,CES,ヒト・コミュニケーションズ,ケーズホールディングス
