update,area1,area2,day,spot,ruby,atr,
,東海,愛知県,,名古屋市営地下鉄名港線 東海通駅,なごやしえいちかてつめいこうせん とうかいどおりえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 東海通駅～港区役所駅間,なごやしえいちかてつめいこうせん とうかいどおりえき～みなとくやくしょえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 日比野駅,なごやしえいちかてつめいこうせん ひびのえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 日比野駅～六番町駅間,なごやしえいちかてつめいこうせん ひびのえき～ろくばんちょうえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 名古屋港駅,なごやしえいちかてつめいこうせん なごやこうえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 六番町駅,なごやしえいちかてつめいこうせん ろくばんちょうえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 六番町駅～東海通駅間,なごやしえいちかてつめいこうせん ろくばんちょうえき～とうかいどおりえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 栄駅,なごやしえいちかてつめいじょうせん さかええき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 栄駅～久屋大通駅間,なごやしえいちかてつめいじょうせん さかええき～ひさやおおどおりえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 久屋大通駅,なごやしえいちかてつめいじょうせん ひさやおおどおりえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 久屋大通駅～名古屋城駅間,なごやしえいちかてつめいじょうせん ひさやおおどおりえき～なごやじょうえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 金山駅,なごやしえいちかてつめいじょうせん かなやまえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 金山駅～東別院駅間,なごやしえいちかてつめいじょうせん かなやまえき～ひがしべついんえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 自由ヶ丘駅～本山駅間,なごやしえいちかてつめいじょうせん じゆうがおかえき～もとやまえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 上前津駅,なごやしえいちかてつめいじょうせん かみまえづえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 上前津駅～矢場町駅間,なごやしえいちかてつめいじょうせん かみまえづえき～やばちょうえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 西高蔵駅,なごやしえいちかてつめいじょうせん にしたかくらえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 西高蔵駅～金山駅間,なごやしえいちかてつめいじょうせん にしたかくらえき～かなやまえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名城線 東別院駅,なごやしえいちかてつめいじょうせん ひがしべついんえき,鉄道,
