update,manufacturer,Model ID,Oracle model id,WAREHOUSE_MODEL,Oracle WAREHOUSE_MODEL,device,memory,carrier,good_price,fair_price,poor_price
,Apple（iPad）,,99760000036598,iPad 8 10.2 128GB - GENERIC,IPAD 8 10.2 128GB - GENERIC,iPad（第8世代）10.2インチ,128GB,Generic," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000054724,iPad 8 10.2 128GB - Softbank,IPAD 8 10.2 128GB - SOFTBANK,iPad（第8世代）10.2インチ,128GB,Softbank," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000054493,iPad 8 10.2 32GB - AU,IPAD 8 10.2 32GB - AU,iPad（第8世代）10.2インチ,32GB,au," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000054605,iPad 8 10.2 32GB - DoCoMo,IPAD 8 10.2 32GB - DOCOMO,iPad（第8世代）10.2インチ,32GB,docomo," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000036597,iPad 8 10.2 32GB - GENERIC,IPAD 8 10.2 32GB - GENERIC,iPad（第8世代）10.2インチ,32GB,Generic," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000054723,iPad 8 10.2 32GB - Softbank,IPAD 8 10.2 32GB - SOFTBANK,iPad（第8世代）10.2インチ,32GB,Softbank," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000054460,iPad 9 10.2 256GB - AU,IPAD 9 10.2 256GB - AU,iPad（第9世代）10.2インチ,256GB,au," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000054572,iPad 9 10.2 256GB - DoCoMo,IPAD 9 10.2 256GB - DOCOMO,iPad（第9世代）10.2インチ,256GB,docomo," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000046408,iPad 9 10.2 256GB - GENERIC,IPAD 9 10.2 256GB - GENERIC,iPad（第9世代）10.2インチ,256GB,Generic," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000054690,iPad 9 10.2 256GB - Softbank,IPAD 9 10.2 256GB - SOFTBANK,iPad（第9世代）10.2インチ,256GB,Softbank," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000054459,iPad 9 10.2 64GB - AU,IPAD 9 10.2 64GB - AU,iPad（第9世代）10.2インチ,64GB,au," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000054571,iPad 9 10.2 64GB - DoCoMo,IPAD 9 10.2 64GB - DOCOMO,iPad（第9世代）10.2インチ,64GB,docomo," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000054689,iPad 9 10.2 64GB - GENERIC,IPAD 9 10.2 64GB - GENERIC,iPad（第9世代）10.2インチ,64GB,Generic," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPad）,,99760000054689,iPad 9 10.2 64GB - Softbank,IPAD 9 10.2 64GB - SOFTBANK,iPad（第9世代）10.2インチ,64GB,Softbank," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPhone）,,99760000038296,iPhone 11 256GB - au,IPHONE 11 256GB - AU,iPhone 11,256GB,au," ¥18,340 "," ¥5,500 "," ¥1,830 "
,Apple（iPhone）,,99760000038338,iPhone 11 256GB - docomo,IPHONE 11 256GB - DOCOMO,iPhone 11,256GB,docomo," ¥18,340 "," ¥5,500 "," ¥1,830 "
,Apple（iPhone）,,99760000028072,iPhone 11 256GB - Generic,IPHONE 11 256GB - GENERIC,iPhone 11,256GB,Generic," ¥18,340 "," ¥5,500 "," ¥1,830 "
,Apple（iPhone）,,99760000038380,iPhone 11 256GB - Softbank,IPHONE 11 256GB - SOFTBANK,iPhone 11,256GB,Softbank," ¥18,340 "," ¥5,500 "," ¥1,830 "
,Apple（iPhone）,,99760000038295,iPhone 11 128GB - au,IPHONE 11 128GB - AU,iPhone 11,128GB,au," ¥17,300 "," ¥5,190 "," ¥1,730 "
,Apple（iPhone）,,99760000038337,iPhone 11 128GB - docomo,IPHONE 11 128GB - DOCOMO,iPhone 11,128GB,docomo," ¥17,300 "," ¥5,190 "," ¥1,730 "
,Apple（iPhone）,,99760000028066,iPhone 11 128GB - Generic,IPHONE 11 128GB - GENERIC,iPhone 11,128GB,Generic," ¥17,300 "," ¥5,190 "," ¥1,730 "
,Apple（iPhone）,,99760000038379,iPhone 11 128GB - Softbank,IPHONE 11 128GB - SOFTBANK,iPhone 11,128GB,Softbank," ¥17,300 "," ¥5,190 "," ¥1,730 "
,Apple（iPhone）,,99760000038297,iPhone 11 64GB - au,IPHONE 11 64GB - AU,iPhone 11,64GB,au," ¥15,540 "," ¥4,660 "," ¥1,550 "
,Apple（iPhone）,,99760000038339,iPhone 11 64GB - docomo,IPHONE 11 64GB - DOCOMO,iPhone 11,64GB,docomo," ¥15,540 "," ¥4,660 "," ¥1,550 "
,Apple（iPhone）,,99760000028060,iPhone 11 64GB - Generic,IPHONE 11 64GB - GENERIC,iPhone 11,64GB,Generic," ¥15,540 "," ¥4,660 "," ¥1,550 "
,Apple（iPhone）,,99760000038381,iPhone 11 64GB - Softbank,IPHONE 11 64GB - SOFTBANK,iPhone 11,64GB,Softbank," ¥15,540 "," ¥4,660 "," ¥1,550 "
,Apple（iPhone）,,99760000038272,iPhone 11 Pro 512GB - au,IPHONE 11 PRO 512GB - AU,iPhone 11 Pro,512GB,au," ¥26,470 "," ¥7,940 "," ¥2,650 "
,Apple（iPhone）,,99760000038314,iPhone 11 Pro 512GB - docomo,IPHONE 11 PRO 512GB - DOCOMO,iPhone 11 Pro,512GB,docomo," ¥26,870 "," ¥8,060 "," ¥2,690 "
,Apple（iPhone）,,99760000028046,iPhone 11 Pro 512GB - Generic,IPHONE 11 PRO 512GB - GENERIC,iPhone 11 Pro,512GB,Generic," ¥27,200 "," ¥8,160 "," ¥2,720 "
,Apple（iPhone）,,99760000038356,iPhone 11 Pro 512GB - Softbank,IPHONE 11 PRO 512GB - SOFTBANK,iPhone 11 Pro,512GB,Softbank," ¥27,200 "," ¥8,160 "," ¥2,720 "
,Apple（iPhone）,,99760000038271,iPhone 11 Pro 256GB - au,IPHONE 11 PRO 256GB - AU,iPhone 11 Pro,256GB,au," ¥21,940 "," ¥6,580 "," ¥2,190 "
,Apple（iPhone）,,99760000038313,iPhone 11 Pro 256GB - docomo,IPHONE 11 PRO 256GB - DOCOMO,iPhone 11 Pro,256GB,docomo," ¥21,600 "," ¥6,480 "," ¥2,160 "
,Apple（iPhone）,,99760000028042,iPhone 11 Pro 256GB - Generic,IPHONE 11 PRO 256GB - GENERIC,iPhone 11 Pro,256GB,Generic," ¥21,940 "," ¥6,580 "," ¥2,190 "
,Apple（iPhone）,,99760000038355,iPhone 11 Pro 256GB - Softbank,IPHONE 11 PRO 256GB - SOFTBANK,iPhone 11 Pro,256GB,Softbank," ¥21,940 "," ¥6,580 "," ¥2,190 "
,Apple（iPhone）,,99760000038273,iPhone 11 Pro 64GB - au,IPHONE 11 PRO 64GB - AU,iPhone 11 Pro,64GB,au," ¥18,140 "," ¥5,440 "," ¥1,810 "
,Apple（iPhone）,,99760000038315,iPhone 11 Pro 64GB - docomo,IPHONE 11 PRO 64GB - DOCOMO,iPhone 11 Pro,64GB,docomo," ¥18,140 "," ¥5,440 "," ¥1,810 "
,Apple（iPhone）,,99760000028038,iPhone 11 Pro 64GB - Generic,IPHONE 11 PRO 64GB - GENERIC,iPhone 11 Pro,64GB,Generic," ¥18,140 "," ¥5,440 "," ¥1,810 "
,Apple（iPhone）,,99760000038357,iPhone 11 Pro 64GB - Softbank,IPHONE 11 PRO 64GB - SOFTBANK,iPhone 11 Pro,64GB,Softbank," ¥18,140 "," ¥5,440 "," ¥1,810 "
,Apple（iPhone）,,99760000038284,iPhone 11 Pro Max 512GB - au,IPHONE 11 PRO MAX 512GB - AU,iPhone 11 Pro Max,512GB,au," ¥32,700 "," ¥9,810 "," ¥3,270 "
,Apple（iPhone）,,99760000038326,iPhone 11 Pro Max 512GB - docomo,IPHONE 11 PRO MAX 512GB - DOCOMO,iPhone 11 Pro Max,512GB,docomo," ¥32,740 "," ¥9,820 "," ¥3,270 "
,Apple（iPhone）,,99760000028058,iPhone 11 Pro Max 512GB - Generic,IPHONE 11 PRO MAX 512GB - GENERIC,iPhone 11 Pro Max,512GB,Generic," ¥33,070 "," ¥9,920 "," ¥3,310 "
,Apple（iPhone）,,99760000038368,iPhone 11 Pro Max 512GB - Softbank,IPHONE 11 PRO MAX 512GB - SOFTBANK,iPhone 11 Pro Max,512GB,Softbank," ¥33,070 "," ¥9,920 "," ¥3,310 "
,Apple（iPhone）,,99760000038283,iPhone 11 Pro Max 256GB - au,IPHONE 11 PRO MAX 256GB - AU,iPhone 11 Pro Max,256GB,au," ¥28,570 "," ¥8,570 "," ¥2,860 "
,Apple（iPhone）,,99760000038325,iPhone 11 Pro Max 256GB - docomo,IPHONE 11 PRO MAX 256GB - DOCOMO,iPhone 11 Pro Max,256GB,docomo," ¥28,240 "," ¥8,470 "," ¥2,820 "
,Apple（iPhone）,,99760000029960,iPhone 11 Pro Max 256GB - Generic,IPHONE 11 PRO MAX 256GB - GENERIC,iPhone 11 Pro Max,256GB,Generic," ¥28,570 "," ¥8,570 "," ¥2,860 "
