shopid,shopname,zip,prefectures,city,dec28,dec29,dec30,dec31,jan1,jan2,jan3,jan4,jan5
6731,ビックカメラ 天神1号館,810-0021,福岡県,福岡市,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-20:00,10:00-20:00,通常営業,通常営業
6741,ケーズデンキ 郡山本店,963-8022,福島県,郡山市,通常営業,通常営業,通常営業,10:00-16:00,休業,通常営業,通常営業,通常営業,通常営業
6781,テックランド長崎本店,852-8031,長崎県,長崎市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
6791,楽天モバイル 仙台一番町店,980-0811,宮城県,仙台市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
6801,コジマ×ビックカメラ 相模原店,252-0234,神奈川県,相模原市,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00
6821,コジマ×ビックカメラ 横須賀店,238-0006,神奈川県,横須賀市,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00
6841,楽天モバイル イオンモール土浦店,300-0811,茨城県,土浦市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
6851,楽天モバイル ららぽーと甲子園店,663-8178,兵庫県,西宮市,通常営業,通常営業,通常営業,10:00-19:00,10:00-20:00,通常営業,通常営業,通常営業,通常営業
6871,楽天モバイル イオンモール伊丹昆陽店,664-0027,兵庫県,伊丹市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
6881,楽天モバイル イオンモール盛岡南店,020-0866,岩手県,盛岡市,通常営業,通常営業,通常営業,10:00-20:00,08:00-21:00,通常営業,通常営業,通常営業,通常営業
6891,楽天モバイル イオンモールいわき小名浜店,971-8555,福島県,いわき市,通常営業,通常営業,通常営業,10:00-19:00,07:00-20:00,通常営業,通常営業,通常営業,通常営業
6901,楽天モバイル シーモール下関店,750-0025,山口県,下関市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
6921,ヤマダデンキ LABI津田沼,275-0026,千葉県,習志野市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
6931,ヤマダデンキ LABI広島,730-0021,広島県,広島市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
6941,ヤマダデンキ LABI LIFE SELECT 立川,190-0012,東京都,立川市,休業,通常営業,通常営業,通常営業,休業,通常営業,通常営業,通常営業,休業
6951,楽天モバイル ユニモちはら台店,290-0143,千葉県,市原市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
6971,楽天モバイル ゆめタウン出雲店,693-0063,島根県,出雲市,通常営業,通常営業,通常営業,10:00-18:00,10:00-18:00,通常営業,通常営業,通常営業,通常営業
6981,楽天モバイル 広島本通り店,730-0035,広島県,広島市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
6991,楽天モバイル 五反田駅前店,141-0022,東京都,品川区,通常営業,通常営業,通常営業,11:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
7001,楽天モバイル イオンモール新瑞橋店,457-0012,愛知県,名古屋市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
7011,ビックカメラ イトーヨーカドーたまプラーザ店,225-0002,神奈川県,横浜市,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-20:00,10:00-20:00,通常営業,通常営業
7021,ヤマダデンキ LABI吉祥寺,180-0003,東京都,武蔵野市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
7041,楽天モバイル 神戸ハーバーランドumie店,650-0044,兵庫県,神戸市,通常営業,通常営業,通常営業,10:00-19:00,09:00-20:00,通常営業,通常営業,通常営業,通常営業
7051,楽天モバイル アドバンスモール松阪店,515-0055,三重県,松阪市,通常営業,通常営業,通常営業,休業,休業,通常営業,通常営業,通常営業,通常営業
7061,楽天モバイル サクラマチ熊本店,860-0805,熊本県,熊本市,通常営業,通常営業,通常営業,09:30-19:00,09:30-19:00,通常営業,通常営業,通常営業,通常営業
7071,ケーズデンキ インターヴィレッジ大曲店,061-1278,北海道,北広島市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
7091,エディオン イオンタウン弥富店,498-0014,愛知県,弥富市,通常営業,通常営業,通常営業,10:00-18:00,10:00-18:00,10:00-19:00,10:00-19:00,通常営業,通常営業
7101,エディオン 新鳥取本店,680-0913,鳥取県,鳥取市,通常営業,通常営業,通常営業,10:00-18:00,10:00-18:00,通常営業,通常営業,通常営業,通常営業
7111,ビックカメラ 新宿東口店,160-0022,東京都,新宿区,通常営業,通常営業,通常営業,10:00-19:00,10:00-20:00,10:00-21:00,10:00-21:00,通常営業,通常営業
7121,エディオン 為又シティ店,905-0005,沖縄県,名護市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
7131,エディオン 諫早店,854-0036,長崎県,諫早市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
7141,楽天モバイル 三軒茶屋店,154-0024,東京都,世田谷区,通常営業,通常営業,通常営業,休業,休業,10:00-17:00,10:00-17:00,通常営業,10:00-17:30
7151,楽天モバイル フェアモール福井大和田店,910-0836,福井県,福井市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
7161,楽天モバイル アクロスモール新鎌ヶ谷店,273-0107,千葉県,鎌ヶ谷市,通常営業,通常営業,通常営業,10:00-20:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
7181,楽天モバイル イオンモール木曽川店,493-0001,愛知県,一宮市,通常営業,通常営業,09:00-21:00,09:00-20:00,09:00-20:00,通常営業,通常営業,通常営業,通常営業
7211,楽天モバイル アリオ北砂店,136-0073,東京都,江東区,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
7221,楽天モバイル イオンモール浜松志都呂店,432-8069,静岡県,浜松市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
7231,楽天モバイル 八王子店,192-0084,東京都,八王子市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
7241,ヤマダデンキ テックランド平和台駅前店,179-0081,東京都,練馬区,通常営業,休業,通常営業,通常営業,休業,通常営業,通常営業,通常営業,休業
7261,楽天モバイル 川口店,332-0017,埼玉県,川口市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
7271,楽天モバイル ららぽーと沼津店,410-8541,静岡県,沼津市,通常営業,通常営業,通常営業,10:00-19:00,通常営業,通常営業,通常営業,通常営業,通常営業
7281,楽天モバイル 高槻センター街店,569-0803,大阪府,高槻市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-18:00,通常営業,通常営業,通常営業
7301,楽天モバイル 溝の口店,213-0001,神奈川県,川崎市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
7311,楽天モバイル イオンモール姫路大津店,671-1146,兵庫県,姫路市,通常営業,通常営業,通常営業,通常営業,09:00-21:00,通常営業,通常営業,通常営業,通常営業
7321,楽天モバイル ファボーレ店,939-2716,富山県,富山市,通常営業,09:00-21:00,09:00-21:00,09:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
7331,楽天モバイル テラスモール松戸店,270-0023,千葉県,松戸市,通常営業,通常営業,通常営業,10:00-19:00,09:00-20:00,通常営業,通常営業,通常営業,通常営業
7341,楽天モバイル ららぽーと立川立飛店,190-0015,東京都,立川市,通常営業,通常営業,通常営業,10:00-19:00,通常営業,通常営業,通常営業,通常営業,通常営業
7351,ビックカメラ 所沢駅店,359-1123,埼玉県,所沢市,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,通常営業,通常営業,通常営業,通常営業
7361,楽天モバイル ららぽーとEXPOCITY店,565-0826,大阪府,吹田市,通常営業,通常営業,通常営業,10:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00
7371,楽天モバイル 稲毛店,263-0043,千葉県,千葉市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
7381,楽天モバイル 長崎浜町店,850-0851,長崎県,長崎市,通常営業,通常営業,通常営業,10:00-17:00,休業,休業,通常営業,通常営業,通常営業
7391,楽天モバイル ベイシア佐倉店,285-0819,千葉県,佐倉市,通常営業,通常営業,通常営業,通常営業,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
7401,楽天モバイル アリオ西新井店,123-0843,東京都,足立区,通常営業,通常営業,通常営業,通常営業,09:00-21:00,通常営業,通常営業,通常営業,通常営業
7421,ビックカメラ 有楽町店,100-0006,東京都,千代田区,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-20:00,10:00-20:00,通常営業,通常営業
7431,楽天モバイル mozoワンダーシティ店,452-0817,愛知県,名古屋市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
7441,楽天モバイル 川越クレアモール店,350-1122,埼玉県,川越市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
7491,ビックカメラ 池袋本店,170-0013,東京都,豊島区,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-20:00,10:00-20:00,通常営業,通常営業
7501,ビックカメラ JR八王子駅店,192-0083,東京都,八王子市,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-20:00,10:00-20:00,通常営業,通常営業
7511,楽天モバイル 京都四条通店,600-8006,京都府,京都市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
